ta_number,drug_name,title,published_date,recommendation,guidance_url
411,necitumumab,Necitumumab for untreated advanced or metastatic squamous non-small-cell lung cancer,28 September 2016,,https://www.nice.org.uk/guidance/ta411
76,newer drugs,Newer drugs for epilepsy in adults,24 March 2004,,https://www.nice.org.uk/guidance/ta76
79,newer drugs,Newer drugs for epilepsy in children,28 April 2004,,https://www.nice.org.uk/guidance/ta79
878,nirmatrelvir plus ritonavir,Nirmatrelvir plus ritonavir and tocilizumab for treating COVID-19,29 March 2023,Recommended,https://www.nice.org.uk/guidance/ta878
465,olaratumab in combination with doxorubicin,Olaratumab in combination with doxorubicin for treating advanced soft tissue sarcoma,09 August 2017,,https://www.nice.org.uk/guidance/ta465
365,ombitasvir–paritaprevir–ritonavir with or without dasabuvir,Ombitasvir–paritaprevir–ritonavir with or without dasabuvir for treating chronic hepatitis C,25 November 2015,,https://www.nice.org.uk/guidance/ta365
22,orlistat,Orlistat for the treatment of obesity in adults,27 March 2001,,https://www.nice.org.uk/guidance/ta22
158,"oseltamivir, amantadine (review)","Oseltamivir, amantadine (review) and zanamivir for the prophylaxis of influenza",24 September 2008,,https://www.nice.org.uk/guidance/ta158
3,ovarian cancer - taxanes,Ovarian cancer - taxanes,27 May 2000,,https://www.nice.org.uk/guidance/ta3
546,padeliporfin,Padeliporfin for untreated localised prostate cancer,21 November 2018,,https://www.nice.org.uk/guidance/ta546
769,palforzia,Palforzia for treating peanut allergy in children and young people,02 February 2022,,https://www.nice.org.uk/guidance/ta769
380,panobinostat,Panobinostat for treating multiple myeloma after at least 2 previous treatments,27 January 2016,,https://www.nice.org.uk/guidance/ta380
102,parent-training/education programmes in the management of children with conduct disorders,Parent-training/education programmes in the management of children with conduct disorders,26 July 2006,,https://www.nice.org.uk/guidance/ta102
408,pegaspargase,Pegaspargase for treating acute lymphoblastic leukaemia,28 September 2016,,https://www.nice.org.uk/guidance/ta408
291,pegloticase,Pegloticase for treating severe debilitating chronic tophaceous gout,26 June 2013,,https://www.nice.org.uk/guidance/ta291
722,pemigatinib,Pemigatinib for treating relapsed or refractory advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,25 August 2021,,https://www.nice.org.uk/guidance/ta722
610,pentosan polysulfate sodium,Pentosan polysulfate sodium for treating bladder pain syndrome,13 November 2019,,https://www.nice.org.uk/guidance/ta610
279,percutaneous vertebroplasty,Percutaneous vertebroplasty and percutaneous balloon kyphoplasty for treating osteoporotic vertebral compression fractures,24 April 2013,,https://www.nice.org.uk/guidance/ta279
246,pharmalgen,Pharmalgen for the treatment of bee and wasp venom allergy,22 February 2012,,https://www.nice.org.uk/guidance/ta246
776,pitolisant hydrochloride,Pitolisant hydrochloride for treating excessive daytime sleepiness caused by obstructive sleep apnoea,09 March 2022,,https://www.nice.org.uk/guidance/ta776
306,pixantrone monotherapy,Pixantrone monotherapy for treating multiply relapsed or refractory aggressive non-Hodgkin's B‑cell lymphoma,26 February 2014,,https://www.nice.org.uk/guidance/ta306
767,ponesimod,Ponesimod for treating relapsing–remitting multiple sclerosis,02 February 2022,,https://www.nice.org.uk/guidance/ta767
812,pralsetinib,Pralsetinib for treating RET fusion-positive advanced non-small-cell lung cancer,03 August 2022,,https://www.nice.org.uk/guidance/ta812
74,pre-hospital initiation of fluid replacement therapy in trauma,Pre-hospital initiation of fluid replacement therapy in trauma,28 January 2004,,https://www.nice.org.uk/guidance/ta74
211,prucalopride,Prucalopride for the treatment of chronic constipation in women,15 December 2010,,https://www.nice.org.uk/guidance/ta211
160,raloxifene,Raloxifene for the primary prevention of osteoporotic fragility fractures in postmenopausal women,27 October 2008,,https://www.nice.org.uk/guidance/ta160
161,raloxifene,Raloxifene and teriparatide for the secondary prevention of osteoporotic fragility fractures in postmenopausal women,27 October 2008,,https://www.nice.org.uk/guidance/ta161
625,recombinant human parathyroid hormone,Recombinant human parathyroid hormone for treating hypoparathyroidism (terminated appraisal),04 March 2020,,https://www.nice.org.uk/guidance/ta625
479,reslizumab,Reslizumab for treating severe eosinophilic asthma,04 October 2017,,https://www.nice.org.uk/guidance/ta479
232,retigabine,Retigabine for the adjunctive treatment of partial onset seizures in epilepsy,27 July 2011,,https://www.nice.org.uk/guidance/ta232
144,rimonabant,Rimonabant for the treatment of overweight and obese adults,23 June 2008,,https://www.nice.org.uk/guidance/ta144
958,ritlecitinib,Ritlecitinib for treating severe alopecia areata in people 12 years and over,27 March 2024,,https://www.nice.org.uk/guidance/ta958
244,roflumilast,Roflumilast for the management of severe chronic obstructive pulmonary disease,25 January 2012,,https://www.nice.org.uk/guidance/ta244
461,roflumilast,Roflumilast for treating chronic obstructive pulmonary disease,26 July 2017,,https://www.nice.org.uk/guidance/ta461
156,routine antenatal anti-d prophylaxis,Routine antenatal anti-D prophylaxis for women who are rhesus D negative,27 August 2008,,https://www.nice.org.uk/guidance/ta156
807,roxadustat,Roxadustat for treating symptomatic anaemia in chronic kidney disease,13 July 2022,,https://www.nice.org.uk/guidance/ta807
611,rucaparib,"Rucaparib for maintenance treatment of relapsed platinum-sensitive ovarian, fallopian tube or peritoneal cancer",13 November 2019,,https://www.nice.org.uk/guidance/ta611
960,satralizumab,Satralizumab for preventing relapses in neuromyelitis optica spectrum disorders (terminated appraisal),27 March 2024,,https://www.nice.org.uk/guidance/ta960
688,selective internal radiation therapies,Selective internal radiation therapies for treating hepatocellular carcinoma,31 March 2021,,https://www.nice.org.uk/guidance/ta688
332,sipuleucel-t,Sipuleucel-T for treating asymptomatic or minimally symptomatic metastatic hormone-relapsed prostate cancer,23 February 2015,,https://www.nice.org.uk/guidance/ta332
838,slow-release potassium bicarbonate–potassium citrate,Slow-release potassium bicarbonate–potassium citrate for treating distal renal tubular acidosis (terminated appraisal),02 November 2022,,https://www.nice.org.uk/guidance/ta838
758,solriamfetol,Solriamfetol for treating excessive daytime sleepiness caused by narcolepsy,05 January 2022,,https://www.nice.org.uk/guidance/ta758
777,solriamfetol,Solriamfetol for treating excessive daytime sleepiness caused by obstructive sleep apnoea,09 March 2022,,https://www.nice.org.uk/guidance/ta777
159,spinal cord stimulation,Spinal cord stimulation for chronic pain of neuropathic or ischaemic origin,22 October 2008,,https://www.nice.org.uk/guidance/ta159
834,sq hdm slit,SQ HDM SLIT for treating allergic rhinitis and allergic asthma caused by house dust mites (terminated appraisal),12 October 2022,,https://www.nice.org.uk/guidance/ta834
128,stapled haemorrhoidopexy,Stapled haemorrhoidopexy for the treatment of haemorrhoids,26 September 2007,,https://www.nice.org.uk/guidance/ta128
