drug,therapy_area,pbac_date,nice_date,gap_days,gap_months,who_moved_first,nice_recommendation,pbac_filename,nice_ta_number,nice_title,nice_published_date,pbac_year,pbac_month,nice_guidance_url
brentuximab,Other,2014-03-01,2019-08-14,-1992,-65.4,PBAC (AUS first),,brentuximab-psd-03-2014.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2014,3,https://www.nice.org.uk/guidance/ta594
brentuximab,Other,2014-03-01,2020-08-12,-2356,-77.4,PBAC (AUS first),,brentuximab-psd-03-2014.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2014,3,https://www.nice.org.uk/guidance/ta641
brentuximab,Other,2014-07-01,2017-06-28,-1093,-35.9,PBAC (AUS first),,brentuximab-psd-07-2014.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2014,7,https://www.nice.org.uk/guidance/ta446
brentuximab,Other,2014-07-01,2017-10-04,-1191,-39.1,PBAC (AUS first),,brentuximab-psd-07-2014.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2014,7,https://www.nice.org.uk/guidance/ta478
brentuximab,Other,2014-07-01,2018-06-13,-1443,-47.4,PBAC (AUS first),,brentuximab-psd-07-2014.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2014,7,https://www.nice.org.uk/guidance/ta524
brentuximab,Other,2014-07-01,2019-04-24,-1758,-57.8,PBAC (AUS first),,brentuximab-psd-07-2014.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2014,7,https://www.nice.org.uk/guidance/ta577
brentuximab,Other,2014-07-01,2019-08-14,-1870,-61.4,PBAC (AUS first),,brentuximab-psd-07-2014.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2014,7,https://www.nice.org.uk/guidance/ta594
brentuximab,Other,2014-07-01,2020-08-12,-2234,-73.4,PBAC (AUS first),,brentuximab-psd-07-2014.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2014,7,https://www.nice.org.uk/guidance/ta641
brentuximab,Other,2015-03-01,2017-06-28,-850,-27.9,PBAC (AUS first),,brentuximab-psd-march-2015.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2015,3,https://www.nice.org.uk/guidance/ta446
brentuximab,Other,2015-03-01,2017-10-04,-948,-31.1,PBAC (AUS first),,brentuximab-psd-march-2015.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2015,3,https://www.nice.org.uk/guidance/ta478
brentuximab,Other,2015-03-01,2018-06-13,-1200,-39.4,PBAC (AUS first),,brentuximab-psd-march-2015.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2015,3,https://www.nice.org.uk/guidance/ta524
brentuximab,Other,2015-03-01,2019-04-24,-1515,-49.8,PBAC (AUS first),,brentuximab-psd-march-2015.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2015,3,https://www.nice.org.uk/guidance/ta577
brentuximab,Other,2015-03-01,2019-08-14,-1627,-53.4,PBAC (AUS first),,brentuximab-psd-march-2015.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2015,3,https://www.nice.org.uk/guidance/ta594
brentuximab,Other,2015-03-01,2020-08-12,-1991,-65.4,PBAC (AUS first),,brentuximab-psd-march-2015.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2015,3,https://www.nice.org.uk/guidance/ta641
brentuximab-vedotin,Other,2025-07-01,2017-06-28,2925,96.1,NICE (UK first),,brentuximab vedotin-psd-july-2025.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2025,7,https://www.nice.org.uk/guidance/ta446
brentuximab-vedotin,Other,2025-07-01,2017-10-04,2827,92.9,NICE (UK first),,brentuximab vedotin-psd-july-2025.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2025,7,https://www.nice.org.uk/guidance/ta478
brentuximab-vedotin,Other,2025-07-01,2018-06-13,2575,84.6,NICE (UK first),,brentuximab vedotin-psd-july-2025.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2025,7,https://www.nice.org.uk/guidance/ta524
brentuximab-vedotin,Other,2025-07-01,2019-04-24,2260,74.2,NICE (UK first),,brentuximab vedotin-psd-july-2025.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2025,7,https://www.nice.org.uk/guidance/ta577
brentuximab-vedotin,Other,2025-07-01,2019-08-14,2148,70.6,NICE (UK first),,brentuximab vedotin-psd-july-2025.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2025,7,https://www.nice.org.uk/guidance/ta594
brentuximab-vedotin,Other,2025-07-01,2020-08-12,1784,58.6,NICE (UK first),,brentuximab vedotin-psd-july-2025.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2025,7,https://www.nice.org.uk/guidance/ta641
brentuximab-vedotin,Other,2018-07-01,2017-06-28,368,12.1,NICE (UK first),,brentuximab-vedotin-psd-july-2018.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2018,7,https://www.nice.org.uk/guidance/ta446
brentuximab-vedotin,Other,2018-07-01,2017-10-04,270,8.9,NICE (UK first),,brentuximab-vedotin-psd-july-2018.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2018,7,https://www.nice.org.uk/guidance/ta478
brentuximab-vedotin,Other,2018-07-01,2018-06-13,18,0.6,Concurrent (±1mo),,brentuximab-vedotin-psd-july-2018.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2018,7,https://www.nice.org.uk/guidance/ta524
brentuximab-vedotin,Other,2018-07-01,2019-04-24,-297,-9.8,PBAC (AUS first),,brentuximab-vedotin-psd-july-2018.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2018,7,https://www.nice.org.uk/guidance/ta577
brentuximab-vedotin,Other,2018-07-01,2019-08-14,-409,-13.4,PBAC (AUS first),,brentuximab-vedotin-psd-july-2018.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2018,7,https://www.nice.org.uk/guidance/ta594
brentuximab-vedotin,Other,2018-07-01,2020-08-12,-773,-25.4,PBAC (AUS first),,brentuximab-vedotin-psd-july-2018.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2018,7,https://www.nice.org.uk/guidance/ta641
brentuximab-vedotin,Other,2021-03-01,2017-06-28,1342,44.1,NICE (UK first),,brentuximab-vedotin-psd-mar-2021.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2021,3,https://www.nice.org.uk/guidance/ta446
brentuximab-vedotin,Other,2021-03-01,2017-10-04,1244,40.9,NICE (UK first),,brentuximab-vedotin-psd-mar-2021.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2021,3,https://www.nice.org.uk/guidance/ta478
brentuximab-vedotin,Other,2021-03-01,2018-06-13,992,32.6,NICE (UK first),,brentuximab-vedotin-psd-mar-2021.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2021,3,https://www.nice.org.uk/guidance/ta524
brentuximab-vedotin,Other,2021-03-01,2019-04-24,677,22.2,NICE (UK first),,brentuximab-vedotin-psd-mar-2021.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2021,3,https://www.nice.org.uk/guidance/ta577
brentuximab-vedotin,Other,2021-03-01,2019-08-14,565,18.6,NICE (UK first),,brentuximab-vedotin-psd-mar-2021.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2021,3,https://www.nice.org.uk/guidance/ta594
brentuximab-vedotin,Other,2021-03-01,2020-08-12,201,6.6,NICE (UK first),,brentuximab-vedotin-psd-mar-2021.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2021,3,https://www.nice.org.uk/guidance/ta641
brentuximab-vedotin,Other,2024-03-01,2017-06-28,2438,80.1,NICE (UK first),,brentuximab-vedotin-psd-march-2024.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2024,3,https://www.nice.org.uk/guidance/ta446
brentuximab-vedotin,Other,2024-03-01,2017-10-04,2340,76.9,NICE (UK first),,brentuximab-vedotin-psd-march-2024.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2024,3,https://www.nice.org.uk/guidance/ta478
