atc,atc_code,year,metric,nsw,vic,qld,sa,wa,tas,act,nt,total
Blood and Blood Forming Organs,B,2011,services,2678667,1907293,1554807,696862,716009,199093,82893,23621,7859245
Blood and Blood Forming Organs,B,2012,services,2969981,2123381,1679473,771839,801507,209824,91985,26002,8673992
Blood and Blood Forming Organs,B,2013,services,2492268,1697713,1693743,775817,619528,201528,78089,29036,7587722
Blood and Blood Forming Organs,B,2014,services,3374172,2436805,1746257,776426,930711,217515,113030,36052,9630968
Blood and Blood Forming Organs,B,2015,services,3560488,2533581,2034271,917970,916366,251354,125006,41487,10380523
Blood and Blood Forming Organs,B,2016,services,2939832,2083250,1773170,774747,800748,211916,112727,39753,8736143
Blood and Blood Forming Organs,B,2017,services,3037240,2173679,1780502,787456,824479,216014,116774,41415,8977559
Blood and Blood Forming Organs,B,2018,services,3192877,2293977,1882212,818896,857694,227904,120496,45000,9439056
Blood and Blood Forming Organs,B,2019,services,3405564,2383558,1951504,841467,906964,245066,127539,49147,9910809
Blood and Blood Forming Organs,B,2020,services,3540025,2521984,2117474,911291,962490,264185,140059,52211,10509719
Blood and Blood Forming Organs,B,2021,services,3503811,2574443,2165956,915401,997737,271587,147763,54372,10631070
Blood and Blood Forming Organs,B,2022,services,3656735,2699778,2335271,939459,1031675,285631,155008,55823,11159380
Blood and Blood Forming Organs,B,2023,services,3778810,2858903,2449603,994868,1079818,295091,162893,59215,11679201
Blood and Blood Forming Organs,B,2024,services,3848914,2837410,2307126,952260,1057847,290310,158538,59589,11511994
Blood and Blood Forming Organs,B,2025,services,4151758,3006190,2623615,1038248,1157385,321203,163933,65121,12527453
Blood and Blood Forming Organs,B,2026_ytd,services,908905,680106,570761,219826,266328,71826,39314,14531,2771597
Blood and Blood Forming Organs,B,TOTAL,services,79931642,58170795,46525476,20511118,21515696,6056408,2744912,908837,236364884
Cardiovascular System,C,1992,services,9847695,6244524,4019635,2094997,1871796,702068,255455,56260,25092430
Cardiovascular System,C,1994,services,10272472,6661212,4254022,2219196,1953621,737712,275711,64540,26438486
Cardiovascular System,C,1995,services,11190837,7279536,4733447,2468428,2197634,819840,310581,78117,29078420
Cardiovascular System,C,1996,services,11901453,7805113,5105457,2657177,2433156,878894,343291,89218,31213759
Cardiovascular System,C,1997,services,12441702,8181163,5435226,2784340,2621368,923414,367450,99820,32854483
Cardiovascular System,C,1998,services,12813859,8604473,5756583,2910957,2787038,963563,386633,110262,34333368
Cardiovascular System,C,1999,services,13964851,9607106,6385233,3240363,3143635,1065456,438105,122689,37967438
Cardiovascular System,C,2000,services,15567114,10687841,7041625,3446392,3520633,1163107,504504,131480,42062696
Cardiovascular System,C,2001,services,16232016,11426413,7702945,3963383,3810677,1239131,541285,151119,45066969
Cardiovascular System,C,2002,services,17474871,12148154,8183558,4045640,4068290,1312125,595387,158494,47986519
Cardiovascular System,C,2003,services,17944342,12880485,8734843,4197329,4315765,1376988,615335,171459,50236546
Cardiovascular System,C,2004,services,19372154,13774626,9528100,4575818,4646795,1474678,665868,192942,54230981
Cardiovascular System,C,2005,services,19428458,13906727,9766105,4591264,4670822,1491848,652926,195421,54703571
Cardiovascular System,C,2006,services,19608878,14186086,9983957,4581749,4750903,1499860,642395,197474,55451302
Cardiovascular System,C,2007,services,19821394,14494660,10571524,4790338,4914487,1524174,638705,200925,56956207
Cardiovascular System,C,2008,services,20319872,14669031,10777795,4765144,5107950,1614704,649367,196437,58100300
Cardiovascular System,C,2009,services,21844923,16128881,11432068,5555465,5219166,1682213,697460,228002,62788178
Cardiovascular System,C,2010,services,21840615,16313909,11814545,5423325,5473444,1714223,703104,229956,63513121
Cardiovascular System,C,2011,services,21780036,16215971,11836455,5371938,5555726,1747776,708631,232031,63448564
Cardiovascular System,C,2012,services,23914057,17957970,12870275,5896617,6132379,1871224,765839,244848,69653209
Cardiovascular System,C,2013,services,19502243,13976243,12717147,5765391,4597558,1786868,607832,246325,59199607
Cardiovascular System,C,2014,services,24858189,19283808,12086306,5435696,6570534,1797292,758189,226764,71016778
Cardiovascular System,C,2015,services,24233987,18491904,13256024,5977426,5788679,1945564,743292,245864,70682740
Cardiovascular System,C,2016,services,21067362,16001078,12396882,5460503,5370179,1767803,657173,228386,62949366
Cardiovascular System,C,2017,services,20934892,15909791,12063851,5335130,5389603,1723302,657414,227453,62241436
Cardiovascular System,C,2018,services,20933839,15901918,12259451,5313818,5350520,1698469,650818,226086,62334919
Cardiovascular System,C,2019,services,21544696,15875603,12293467,5282093,5530728,1757563,641717,236575,63162442
Cardiovascular System,C,2020,services,22109368,16716485,13152176,5664423,5817608,1854428,680606,234319,66229413
Cardiovascular System,C,2021,services,21845135,16643742,13458477,5637374,5999594,1872240,703711,263736,66424009
Cardiovascular System,C,2022,services,22512120,17125576,14397889,5780283,6226839,1960323,732326,268396,69003752
Cardiovascular System,C,2023,services,22388938,17381623,14645791,5977943,6309794,1971092,767043,274488,69716712
Cardiovascular System,C,2024,services,21964861,16154223,12970007,5419316,5798518,1875910,712094,262650,65157579
Cardiovascular System,C,2025,services,23588040,16768796,14693259,5895029,6242633,2051198,724248,272142,70235345
Cardiovascular System,C,2026_ytd,services,5049300,3707813,3081965,1223582,1442449,453053,177702,64186,15200050
Cardiovascular System,C,TOTAL,services,630114569,459112484,339406090,153747867,155630521,50318103,19972197,6428864,1814730695
Dermatologicals,D,1992,services,1521416,1066145,649226,339234,302383,102711,30243,11326,4022684
Dermatologicals,D,1994,services,1535325,1104843,660754,342003,300969,105527,31087,11368,4091876
Dermatologicals,D,1995,services,1525069,1131684,658265,350058,308670,109967,31719,12320,4127752
Dermatologicals,D,1996,services,1434362,1100673,606624,327899,293595,105521,32245,11224,3912143
Dermatologicals,D,1997,services,1163312,901867,470757,267236,242487,85694,29206,9151,3169710
Dermatologicals,D,1998,services,1015115,766677,398956,237221,207574,75643,24196,8461,2733843
Dermatologicals,D,1999,services,1068876,827521,416668,249047,226538,80169,27309,8512,2904640
Dermatologicals,D,2000,services,1121369,844587,426806,240887,234598,81758,29988,8985,2988978
Dermatologicals,D,2001,services,1082312,834347,429855,255251,233014,81146,29483,9787,2955195
Dermatologicals,D,2002,services,1061054,815873,401399,237804,225878,77500,29220,8381,2857109
Dermatologicals,D,2003,services,999522,794303,392432,225065,224315,74601,27048,7298,2744584
Dermatologicals,D,2004,services,1020718,804505,408068,234775,225258,75075,26593,7094,2802086
Dermatologicals,D,2005,services,981627,781983,392604,222547,213571,72463,25109,6537,2696441
Dermatologicals,D,2006,services,969384,777872,390424,220218,210049,72688,25134,6179,2671948
Dermatologicals,D,2007,services,945981,751300,391395,213873,206956,70428,24964,6340,2611237
Dermatologicals,D,2008,services,923404,719813,380866,202168,202292,71069,24713,5940,2530265
Dermatologicals,D,2009,services,976680,784323,397247,229516,203096,72446,26281,6764,2696353
Dermatologicals,D,2010,services,966558,783107,408547,218137,213709,73133,27339,6867,2697397
