ta_number,title,drug_name,published_date,recommendation,guidance_url,pdf_url
289,Ruxolitinib for disease-related splenomegaly or symptoms in adults with myelofibrosis,ruxolitinib,26 June 2013,,https://www.nice.org.uk/guidance/ta289,https://www.nice.org.uk/guidance/ta289/resources/ta289.pdf
290,Mirabegron for treating symptoms of overactive bladder,mirabegron,26 June 2013,,https://www.nice.org.uk/guidance/ta290,https://www.nice.org.uk/guidance/ta290/resources/mirabegron-for-treating-symptoms-of-overactive-bladder-pdf-82600726672069
291,Pegloticase for treating severe debilitating chronic tophaceous gout,pegloticase,26 June 2013,,https://www.nice.org.uk/guidance/ta291,https://www.nice.org.uk/guidance/ta291/resources/ta291.pdf
292,Aripiprazole for treating moderate to severe manic episodes in adolescents with bipolar I disorder,aripiprazole,24 July 2013,,https://www.nice.org.uk/guidance/ta292,https://www.nice.org.uk/guidance/ta292/resources/aripiprazole-for-treating-moderate-to-severe-manic-episodes-in-adolescents-with-bipolar-i-disorder-pdf-82600730031301
293,Eltrombopag for treating chronic immune thrombocytopenia,eltrombopag,24 July 2013,,https://www.nice.org.uk/guidance/ta293,https://www.nice.org.uk/guidance/ta293/resources/eltrombopag-for-treating-chronic-immune-thrombocytopenia-pdf-82600731710917
294,Aflibercept solution for injection for treating wet age‑related macular degeneration,aflibercept solution,24 July 2013,,https://www.nice.org.uk/guidance/ta294,https://www.nice.org.uk/guidance/ta294/resources/aflibercept-solution-for-injection-for-treating-wet-agerelated-macular-degeneration-pdf-82600733390533
295,Everolimus in combination with exemestane for treating advanced HER2-negative hormone-receptor-positive breast cancer after endocrine therapy,everolimus in combination with exemestane,28 August 2013,,https://www.nice.org.uk/guidance/ta295,https://www.nice.org.uk/guidance/ta295/resources/ta295.pdf
296,Crizotinib for previously treated non-small-cell lung cancer associated with an anaplastic lymphoma kinase fusion gene,crizotinib,25 September 2013,,https://www.nice.org.uk/guidance/ta296,https://www.nice.org.uk/guidance/ta296/resources/ta296.pdf
297,Ocriplasmin for treating vitreomacular traction,ocriplasmin,23 October 2013,,https://www.nice.org.uk/guidance/ta297,https://www.nice.org.uk/guidance/ta297/resources/ta297.pdf
298,Ranibizumab for treating choroidal neovascularisation associated with pathological myopia,ranibizumab,27 November 2013,,https://www.nice.org.uk/guidance/ta298,https://www.nice.org.uk/guidance/ta298/resources/ranibizumab-for-treating-choroidal-neovascularisation-associated-with-pathological-myopia-pdf-82600740108997
299,Bosutinib for previously treated chronic myeloid leukaemia,bosutinib,27 November 2013,,https://www.nice.org.uk/guidance/ta299,https://www.nice.org.uk/guidance/ta299/resources/ta299.pdf
300,Peginterferon alfa and ribavirin for treating chronic hepatitis C in children and young people,peginterferon alfa,27 November 2013,,https://www.nice.org.uk/guidance/ta300,https://www.nice.org.uk/guidance/ta300/resources/peginterferon-alfa-and-ribavirin-for-treating-chronic-hepatitisc-in-children-and-young-people-pdf-82602359258821
301,Fluocinolone acetonide intravitreal implant for treating chronic diabetic macular oedema after an inadequate response to prior therapy,fluocinolone acetonide intravitreal implant,27 November 2013,,https://www.nice.org.uk/guidance/ta301,https://www.nice.org.uk/guidance/ta301/resources/ta301.pdf
302,Canakinumab for treating systemic juvenile idiopathic arthritis (terminated appraisal),canakinumab,27 November 2013,,https://www.nice.org.uk/guidance/ta302,https://www.nice.org.uk/guidance/ta302/resources/canakinumab-for-treating-systemic-juvenile-idiopathic-arthritis-terminated-appraisal-pdf-82602362618053
303,Teriflunomide for treating relapsing–remitting multiple sclerosis,teriflunomide,22 January 2014,,https://www.nice.org.uk/guidance/ta303,https://www.nice.org.uk/guidance/ta303/resources/teriflunomide-for-treating-relapsingremitting-multiple-sclerosis-pdf-82602364297669
304,Total hip replacement and resurfacing arthroplasty for end-stage arthritis of the hip,total hip replacement,26 February 2014,,https://www.nice.org.uk/guidance/ta304,https://www.nice.org.uk/guidance/ta304/resources/total-hip-replacement-and-resurfacing-arthroplasty-for-endstage-arthritis-of-the-hip-pdf-82602365977285
305,Aflibercept for treating visual impairment caused by macular oedema secondary to central retinal vein occlusion,aflibercept,26 February 2014,,https://www.nice.org.uk/guidance/ta305,https://www.nice.org.uk/guidance/ta305/resources/aflibercept-for-treating-visual-impairment-caused-by-macular-oedema-secondary-to-central-retinal-vein-occlusion-pdf-82602367656901
306,Pixantrone monotherapy for treating multiply relapsed or refractory aggressive non-Hodgkin's B‑cell lymphoma,pixantrone monotherapy,26 February 2014,,https://www.nice.org.uk/guidance/ta306,https://www.nice.org.uk/guidance/ta306/resources/pixantrone-monotherapy-for-treating-multiply-relapsed-or-refractory-aggressive-nonhodgkins-bcell-lymphoma-pdf-82602369336517
307,Aflibercept in combination with irinotecan and fluorouracil-based therapy for treating metastatic colorectal cancer that has progressed following prior oxaliplatin-based chemotherapy,aflibercept in combination with irinotecan,25 March 2014,,https://www.nice.org.uk/guidance/ta307,https://www.nice.org.uk/guidance/ta307/resources/aflibercept-in-combination-with-irinotecan-and-fluorouracilbased-therapy-for-treating-metastatic-colorectal-cancer-that-has-progressed-following-prior-oxaliplatinbased-chemotherapy-pdf-82602371016133
308,Rituximab in combination with glucocorticoids for treating anti-neutrophil cytoplasmic antibody-associated vasculitis,rituximab in combination with glucocorticoids,26 March 2014,,https://www.nice.org.uk/guidance/ta308,https://www.nice.org.uk/guidance/ta308/resources/rituximab-in-combination-with-glucocorticoids-for-treating-antineutrophil-cytoplasmic-antibodyassociated-vasculitis-pdf-82602372695749
309,Pemetrexed maintenance treatment following induction therapy with pemetrexed and cisplatin for non-squamous non-small-cell lung cancer,pemetrexed maintenance treatment following induction therapy with pemetrexed,23 April 2014,,https://www.nice.org.uk/guidance/ta309,https://www.nice.org.uk/guidance/ta309/resources/ta309.pdf
310,Afatinib for treating epidermal growth factor receptor mutation-positive locally advanced or metastatic non-small-cell lung cancer,afatinib,23 April 2014,,https://www.nice.org.uk/guidance/ta310,https://www.nice.org.uk/guidance/ta310/resources/afatinib-for-treating-epidermal-growth-factor-receptor-mutationpositive-locally-advanced-or-metastatic-nonsmallcell-lung-cancer-pdf-82602419724997
311,Bortezomib for induction therapy in multiple myeloma before high-dose chemotherapy and autologous stem cell transplantation,bortezomib,23 April 2014,,https://www.nice.org.uk/guidance/ta311,https://www.nice.org.uk/guidance/ta311/resources/bortezomib-for-induction-therapy-in-multiple-myeloma-before-highdose-chemotherapy-and-autologous-stem-cell-transplantation-pdf-82602421404613
312,Alemtuzumab for treating highly active relapsing–remitting multiple sclerosis,alemtuzumab,28 May 2014,,https://www.nice.org.uk/guidance/ta312,https://www.nice.org.uk/guidance/ta312/resources/alemtuzumab-for-treating-highly-active-relapsingremitting-multiple-sclerosis-pdf-82602423084229
313,Ustekinumab for treating active psoriatic arthritis,ustekinumab,27 May 2014,,https://www.nice.org.uk/guidance/ta313,https://www.nice.org.uk/guidance/ta313/resources/ta313.pdf
314,Implantable cardioverter defibrillators and cardiac resynchronisation therapy for arrhythmias and heart failure,implantable cardioverter defibrillators,25 June 2014,,https://www.nice.org.uk/guidance/ta314,https://www.nice.org.uk/guidance/ta314/resources/implantable-cardioverter-defibrillators-and-cardiac-resynchronisation-therapy-for-arrhythmias-and-heart-failure-pdf-82602426443461
315,Canagliflozin in combination therapy for treating type 2 diabetes,canagliflozin in combination therapy,25 June 2014,,https://www.nice.org.uk/guidance/ta315,https://www.nice.org.uk/guidance/ta315/resources/canagliflozin-in-combination-therapy-for-treating-type2-diabetes-pdf-82602428123077
316,Enzalutamide for metastatic hormone‑relapsed prostate cancer previously treated with a docetaxel‑containing regimen,enzalutamide,23 July 2014,,https://www.nice.org.uk/guidance/ta316,https://www.nice.org.uk/guidance/ta316/resources/enzalutamide-for-metastatic-hormonerelapsed-prostate-cancer-previously-treated-with-a-docetaxelcontaining-regimen-pdf-82602429802693
317,Prasugrel with percutaneous coronary intervention for treating acute coronary syndromes,prasugrel with percutaneous coronary intervention,23 July 2014,,https://www.nice.org.uk/guidance/ta317,https://www.nice.org.uk/guidance/ta317/resources/prasugrel-with-percutaneous-coronary-intervention-for-treating-acute-coronary-syndromes-pdf-82602431482309
