drug,year,month,pbac_date,filename
eplerenone,2025,7,2025-07-01,eplerenone-psd-july-2025-with-addendum-december-2025.pdf
epoetin-lambda,2017,7,2017-07-01,epoetin-lambda-psd-july-2017.pdf
epoprostenol,2014,7,2014-07-01,epoprostenol-psd-07-2014.pdf
epoprostenol-sodium,2016,11,2016-11-01,epoprostenol-sodium-psd-november-2016.pdf
ertugliflozin-sitagliptin,2018,7,2018-07-01,ertugliflozin-sitagliptin-psd-july-2018-psd.pdf
escitalopram,2014,7,2014-07-01,escitalopram-psd-07-2014.pdf
eslicarbazepine,2021,3,2021-03-01,eslicarbazepine-psd-mar-2021.pdf
essential-amino-acids-formula-with-vitamins-and-minerals-%28eaa-supplement%29,2021,11,2021-11-01,essential-amino-acids-formula-with-vitamins-and-minerals-%28eaa-supplement%29-psd-nov-2021.pdf
estetrol-with-drospirenone,2025,3,2025-03-01,estetrol-with-drospirenone-psd-march-2025.pdf
estradiol-progesterone-estradiol-and-progesterone,2024,11,2024-11-01,estradiol-progesterone-estradiol-and-progesterone-psd-nov-2024.pdf
estradiol-with-progesterone,2025,11,2025-11-01,estradiol-with-progesterone-psd-november-2025.pdf
fampridine,2014,3,2014-03-01,fampridine-psd-03-2014.pdf
fentanyl-buccal,2015,7,2015-07-01,fentanyl-buccal-psd-july-2015.pdf
fentanyl-citrate,2013,3,2013-03-01,fentanyl-citrate-psd-03-2013.pdf
fentanyl-citrate,2015,7,2015-07-01,fentanyl-citrate-psd-july-2015.pdf
fentanyl-citrate,2015,11,2015-11-01,fentanyl-citrate-psd-november-2015.pdf
fentanyl-nasal-spray,2014,3,2014-03-01,fentanyl-nasal-spray-psd-03-2014.pdf
fentanyl,2017,7,2017-07-01,fentanyl-psd-july-2017.pdf
